artist,track,album_name,album_type,album_date,album_tracks,album_pic,genres,alphaname,maiuscule
Gianna Nannini,Ciao è meglio di goodbye,Sei nel l'anima,Album,2024-03-22,1983 (04:10)/Silenzio (02:53)/Io voglio te (04:25)/Lento lontano (03:23)/Filo spinato (03:11)/Tutta la vita (03:09)/Il buio nei miei occhi (I 'd rather go blind) (04:26)/Bang (04:05)/Maledetta confusione (03:05)/Ciao è meglio di goodbye (03:45)/Stupida emozione (03:20)/Mi mancava una canzone che parlasse di te (04:30,https://i.scdn.co/image/ab67616d00001e0211c9ec45cf3c6551d8520c70,Italo Dance/Italian Singer-songwriter,"Nannini, Gianna",N
New Trolls,III Tempo: Cadenza - Andante con moto,Concerto Grosso per i New Trolls,Album,1971,I Tempo: Allegro (02:14)/II Tempo: Adagio (Shadows) (04:51)/III Tempo: Cadenza - Andante con moto (04:09)/IV Tempo: Shadows (Per Jimi Hendrix) (05:30)/Nella sala vuota: Improvvisazioni dei New Trolls registrate in diretta (20:27,https://i.scdn.co/image/ab67616d00001e026d1cc9aff9f41e3032b73138,Progressive Rock/Italian Singer-songwriter,New Trolls,N
Kraan,"Nam Nam - Live From The Quartier Latin,Germany/1974",Live,Album,1975-01-01,"Jerk Of Life - Live From The Quartier Latin,Germany/1974 (05:09)/Nam Nam - Live From The Quartier Latin,Germany/1974 (15:09)/Holiday Am Marterhorn Including Gipfelsturm - Live From The Quartier Latin,Germany/1974 (12:59)/Sarah's Ritt durch den Schwarzwald - Live From The Quartier Latin,Germany/1974 (06:00)/Andy Nogger - Live From The Quartier Latin,Germany/1974 (03:30)/Andy Nogger - Gutter King - Live From The Quartier Latin,Germany/1974 (06:59)/Hallo Ja Ja, I Don't Know - Live From The Quartier Latin,Germany/1974 (10:18)/Lonesome Liftboy - Live From The Quartier Latin,Germany/1974 (05:12)/Kraan Arabia - Live From The Quartier Latin,Germany/1974 (12:30",https://i.scdn.co/image/ab67616d00001e022006bbd0dec699973cd56a0a,Krautrock/Progressive Rock/Space Rock/Jazz Fusion,Kraan,K
Franco Battiato,Tra sesso e castità,Universi paralleli di Franco Battiato,Compilation,2018-09-28,Atlantide - Live 2003 (03:10)/Strani Giorni - Live 2003 (03:44)/Shock In My Town - Live 2003 (03:56)/E ti vengo a cercare - Live 2003 (03:46)/La cura - Live 2003 (04:07)/Mesopotamia - Live 2003 (04:21)/Lode All'Inviolato - Live 2003 (03:10)/Stranizza D'Amuri - Live 2003 (02:13)/La stagione dell'amore - Live 2003 (02:50)/Povera Patria - Live 2003 (03:46)/Medley Last Summer Dance - Live 2003 (08:23)/L'animale - Live 2003 (02:54)/L'era del cinghiale bianco - Live 2003 (03:02)/Cuccuruccuccu - Live 2003 (04:11)/Centro di gravità permanente - Live 2003 (04:15)/Auto Da Fè - live (03:56)/Voglio vederti danzare - live (03:27)/Insieme a te non ci sto piu' (03:12)/Perduto amore (03:17)/Il cielo in una stanza (03:11)/Se mai (03:06)/Ritornerai (03:25)/Col tempo sai (03:34)/Impressioni di settembre (03:40)/Le tue radici (03:20)/Hey Joe (03:34)/Se tu sapessi (03:17)/Sigillata con un bacio (Sealed with a Kiss) - Italian Version (03:20)/Come un sigillo (03:04)/Beim schlafengehen (02:54)/La Mer (03:00)/Prologo (02:26)/Running Against The Grain (03:42)/Bist Du Bei Mir (04:19)/La quiete dopo un addio (03:54)/Personalità Empirica (03:34)/Il cammino interminabile (03:44)/Lontananze D'Azzurro (03:29)/Sarcofagia (03:42)/Scherzo in minore (03:21)/Il Potere Del Canto (04:03)/Tra sesso e castità (03:25)/Le aquile non volano a stormi (03:26)/Ermeneutica (03:34)/Fortezza Bastiani (03:20)/Odore di polvere da sparo (03:28)/I'm that (03:32)/Conforto alla vita (03:22)/23 coppie di cromosomi (03:33)/Apparenza e realtà (03:38,https://i.scdn.co/image/ab67616d00001e021773a7b8623a39d8da4ed9e6,Italian Singer-songwriter/Singer-songwriter,"Battiato, Franco",B
The Brian Jonestown Massacre,Animal Wisdom,Something Else,Album,2018-05-25,Hold That Thought (04:47)/Animal Wisdom (03:34)/Psychic Lips (03:49)/Skin and Bones (03:18)/My Poor Heart (03:49)/My Love (05:40)/Who dreams of cats? (03:34)/Fragmentation (03:08)/Silent Stream (08:16,https://i.scdn.co/image/ab67616d00001e02af3e6f0c49b9409d7da3feb0,Shoegaze/Psychedelic Rock/Space Rock,"Brian Jonestown Massacre, The",B
Franco Battiato,Bist Du Bei Mir,Ferro Battuto,Album,2001-04-13,Running Against The Grain (03:41)/Bist Du Bei Mir (04:19)/La quiete dopo un addio (03:54)/Personalità Empirica (03:34)/Il cammino interminabile (03:44)/Lontananze D'Azzurro (03:28)/Hey Joe (03:33)/Sarcofagia (03:42)/Scherzo in minore (03:21)/Il Potere Del Canto (04:03)/Öde (07:05,https://i.scdn.co/image/ab67616d00001e028fce06487f0b979fb9d8d77a,Italian Singer-songwriter/Singer-songwriter,"Battiato, Franco",B
Pearl Jam,Rival,Binaural,Album,2000-05-16,Breakerfall (02:19)/Gods' Dice (02:26)/Evacuation (02:56)/Light Years (05:06)/Nothing As It Seems (05:21)/Thin Air (03:32)/Insignificance (04:28)/Of the Girl (05:07)/Grievance (03:14)/Rival (03:38)/Sleight of Hand (04:47)/Soon Forget (01:46)/Parting Ways (07:17,https://i.scdn.co/image/ab67616d00001e02370ece74b1dcfdc34264f41b,Grunge/Rock,Pearl Jam,P
Franco Battiato,Scampanio,Telesio,Album,2011-11-21,Prologo (02:26)/Inizio (01:48)/Ouverture (01:21)/Il sogno (03:00)/Elettronica arcobaleni (01:24)/Duplice intelletto (00:57)/Le stimmate (04:47)/Fine del sistema solare (02:15)/Corale (02:57)/Danza I (06:34)/Prologo secondo atto (01:16)/Abiuras (01:39)/Il freddo e il caldo (03:25)/Benedictus (02:24)/Un amore romano (03:41)/L'esistenza di Dio (02:05)/Scampanio (02:45)/Attende Domine (03:02)/Danza II (04:57)/Devota precisazione (00:18)/Coro (01:28,https://i.scdn.co/image/ab67616d00001e028027774e0be36b6b3a84ea00,Italian Singer-songwriter/Singer-songwriter,"Battiato, Franco",B
The Rolling Stones,Heaven - Remastered,Tattoo You (2009 Re-Mastered),Album,1981-08-24,Start Me Up - Remastered 2009 (03:33)/Hang Fire - Remastered (02:21)/Slave - Remastered (06:32)/Little T&A - Remastered (03:23)/Black Limousine - Remastered (03:32)/Neighbours - Remastered (03:31)/Worried About You - Remastered (05:17)/Tops - Remastered (03:46)/Heaven - Remastered (04:22)/No Use In Crying - Remastered (03:25)/Waiting On A Friend - Remastered 2009 (04:34,https://i.scdn.co/image/ab67616d00001e0208fc42e575043a753f60d675,Classic Rock/Rock,"Rolling Stones, The",R
Jasper van't Hofs Pili Pili,Pilansberg,Boogaloo,Album,1993-12-06,The Headpeeper (03:12)/A Presi Dee (06:21)/Summerdance (06:03)/Pilansberg (07:57)/Live is not a Video (04:41)/Blind date (06:01)/Jump to dive (06:19)/Rag Bag (04:08)/Tight lips (05:17)/Boogaloo (08:11,https://i.scdn.co/image/ab67616d00001e02eabb1e674cd1701388a84137,,Jasper van't Hofs Pili Pili,J
Franco Battiato,Luna Indiana - 2008 Remaster,L'Era Del Cinghiale Bianco (2008 Remastered Edition),Album,1979,L'Era Del Cinghiale Bianco - 2008 Remaster (04:16)/Magic Shop - 2008 Remaster (04:14)/Strade Dell'Est - 2008 Remaster (04:20)/Luna Indiana - 2008 Remaster (03:34)/Il Re Del Mondo - 2008 Remaster (05:37)/Pasqua Etiope - 2008 Remaster (04:29)/Stranizza D'Amuri - 2008 Remaster (05:13,https://i.scdn.co/image/ab67616d00001e021817adc14a9665a7f09e228d,Italian Singer-songwriter/Singer-songwriter,"Battiato, Franco",B
The Yardbirds,The Train Kept A-Rollin',Having a Rave Up with The Yardbirds,Album,1965,"You're a Better Man Than I (03:17)/Evil Hearted You (02:24)/Still I'm Sad (02:58)/Heart Full of Soul (02:28)/The Train Kept A-Rollin' (03:25)/Smokestack Lightning - Live at the Marquee Club, 1964 (05:36)/Respectable - Live at the Marquee Club, 1964 (05:29)/I'm a Man - Live at the Marquee Club, 1964 (04:24)/I'm a Man (02:36)/Here 'Tis - Live at the Marquee Club, 1964 (05:04",https://i.scdn.co/image/ab67616d00001e02675836e07abdb064b0c44424,Psychedelic Rock/Acid Rock/Blues Rock,"Yardbirds, The",Y
Donald Fagen,Trans-Island Skyway,Kamakiriad,Album,1993-05-25,Trans-Island Skyway (06:30)/Countermoon (05:05)/Springtime (05:06)/Snowbound (07:08)/Tomorrow's Girls (06:17)/Florida Room (06:02)/On the Dunes (08:07)/Teahouse on the Tracks (06:09,https://i.scdn.co/image/ab67616d00001e02deee982c2542860edfdd499a,Album Rock,"Fagen, Donald",F
The Rolling Stones,The Lantern - (Original Single Mono Version),Singles 1965-1967,Compilation,2004-07-12,"(I Can't Get No) Satisfaction - (Original Single Mono Version) (03:42)/The Under Assistant West Coast Promotion Man - (Original Single Mono Version) (03:07)/The Spider And The Fly - Remastered 2002 (03:38)/Get Off Of My Cloud - (Original Single Mono Version) (02:54)/I'm Free - (Original Single Mono Version) (02:23)/The Singer Not The Song - (Original Single Mono Version) (02:22)/As Tears Go By - (Original Single Mono Version) (02:45)/Gotta Get Away - (Original Single Mono Version) (02:06)/19th Nervous Breakdown - (Original Single Mono Version) (03:56)/Sad Day - (Original Single Mono Version) (03:01)/Paint It, Black - (Original Single Mono Version) (03:44)/Stupid Girl - (Original Single Mono Version) (02:55)/Long Long While - (Original Single Mono Version) (03:00)/Mother's Little Helper - (Original Single Mono Version) (02:45)/Lady Jane - (Original Single Mono Version) (03:09)/Have You Seen Your Mother, Baby, Standing In The Shadow? - (Original Single Mono Version) (02:34)/Who's Driving Your Plane? - (Original Single Mono Version) (03:13)/Let's Spend The Night Together - (Original Single Mono Version) (03:26)/Ruby Tuesday - (Original Single Mono Version) (03:13)/We Love You - (Original Single Mono Version) (04:35)/Dandelion - (Original Single Mono Version) (03:47)/She's A Rainbow - (Original Single Mono Version) (04:11)/2000 Light Years From Home - (Original Single Mono Version) (04:44)/In Another Land - (Original Single Mono Version) (02:52)/The Lantern - (Original Single Mono Version) (04:25",https://i.scdn.co/image/ab67616d00001e02196ddacc8968e22242285745,Classic Rock/Rock,"Rolling Stones, The",R
Franco Battiato,Otra Vida - Remastered 2020,Nòmadas (Remastered 2020),Album,1987,Nòmadas - Remastered 2020 (04:15)/Bandera Blanca - Remastered 2020 (04:42)/Yo Quiero Verte Danzar - Remastered 2020 (03:35)/Via Lactea - Remastered 2020 (04:45)/La Era Del Jabalì Blanco - Remastered 2020 (03:48)/Perspectiva Nevski - Remastered 2020 (03:25)/Despertar En Primavera - Remastered 2020 (03:33)/Mal De Africa - Remastered 2020 (03:44)/Otra Vida - Remastered 2020 (03:45,https://i.scdn.co/image/ab67616d00001e029f7737b51796993d31498c1d,Italian Singer-songwriter/Singer-songwriter,"Battiato, Franco",B
Soft Machine,Hope For Happiness - Reprise,The Soft Machine (Remastered And Expanded),Album,1968,"Hope For Happiness (04:22)/Joy Of A Toy (02:49)/Hope For Happiness - Reprise (01:37)/Why Am I So Short? (01:37)/So Boot If At All (07:24)/A Certain Kind (04:13)/Save Yourself (02:25)/Priscilla (01:03)/Lullabye Letter (04:42)/We Did It Again (03:46)/Plus Belle Qu'une Poubelle (01:00)/Why Are We Sleeping? (05:31)/Box 25 / 4 Lid (00:47)/Love Makes Sweet Music - Bonus Track (02:29)/Feelin', Reelin', Squealin' - Bonus Track (02:51",https://i.scdn.co/image/ab67616d00001e02d0dd45b91440063fcb38a977,Progressive Rock/Jazz Fusion/Krautrock/Psychedelic Rock/Art Rock/Acid Rock/Symphonic Rock/Space Rock,Soft Machine,S
Talking Heads,Psycho Killer - 2005 Remaster,Talking Heads '77 (Deluxe Version),Album,1977-09-16,"Uh-Oh, Love Comes to Town - 2005 Remaster (02:49)/New Feeling - 2005 Remaster (03:09)/Tentative Decisions - 2005 Remaster (03:08)/Happy Day - 2005 Remaster (03:55)/Who Is It? - 2005 Remaster (01:44)/No Compassion - 2005 Remaster (04:49)/The Book I Read - 2005 Remaster (04:10)/Don't Worry About the Government - 2005 Remaster (03:02)/First Week / Last Week....Carefree - 2005 Remaster (03:21)/Psycho Killer - 2005 Remaster (04:21)/Pulled Up - 2005 Remaster (04:31)/Love → Building on Fire - 2005 Remaster (02:57)/I Wish You Wouldn't Say That - 2005 Remaster (02:37)/Psycho Killer - Acoustic (04:18)/I Feel It in My Heart - 2005 Remaster (03:13)/Sugar on My Tongue - 2005 Remaster (02:36",https://i.scdn.co/image/ab67616d00001e02e71708b667804f6241dd1a59,New Wave/Post-punk,Talking Heads,T
Premiata Forneria Marconi,Just Look Away - Live,P.F.M. - Live In Usa,Album,1974,Four Holes in the Ground - Live (07:26)/Dove... quando... - Live (04:43)/Just Look Away - Live (08:48)/Celebration Medley - Live (08:32)/Mr Nine Till Five - Live (04:32)/Alta Loma Five Till Nine Medley - Live (15:52,https://i.scdn.co/image/ab67616d00001e02415b51954908153515246ad0,Progressive Rock/Italian Singer-songwriter/Symphonic Rock/Art Rock,Premiata Forneria Marconi,P
Pink Floyd,Paintbox - 1996 Remastered Version,Relics (1996 Remastered Version),Compilation,1971-05-14,Arnold Layne - 1996 Remastered Version (02:56)/Interstellar Overdrive - 1996 Remastered Version (09:42)/See Emily Play - 1996 Remastered Version (02:53)/Remember A Day - 1996 Remastered Version (04:29)/Paintbox - 1996 Remastered Version (03:33)/Julia Dream - 1996 Remastered Version (02:36)/Careful With That Axe Eugene - 1996 Remastered Version (05:44)/Cirrus Minor - 1996 Remastered Version (05:18)/The Nile Song - 1996 Remastered Version (03:25)/Biding My Time - 1996 Remastered Version (05:18)/Bike - 1996 Remastered Version (03:22,https://i.scdn.co/image/ab67616d00001e02b0ac1b04fefa88ceb77f3c39,Progressive Rock/Psychedelic Rock/Classic Rock/Symphonic Rock/Art Rock/Rock,Pink Floyd,P
Franco Battiato,Shock In My Town - Live 2003,Last Summer Dance - Live,Album,2003-10-24,Shackleton - Live 2003 (03:46)/Atlantide - Live 2003 (03:10)/Strani Giorni - Live 2003 (03:44)/Shock In My Town - Live 2003 (03:56)/Impressioni Di Settembre - Live 2003 (03:28)/L'Oceano di Silenzio - Live 2003 (03:59)/Delenda Carthago - Live 2003 (03:19)/E ti vengo a cercare - Live 2003 (03:46)/E' Stato Molto Bello - Live 2003 (03:32)/Il Mantello e La Spiga - Live 2003 (03:57)/Caffè De La Paix - Live 2003 (03:40)/La cura - Live 2003 (04:07)/Accetta il consiglio - Live 2003 (03:37)/L'incantesimo - Live 2003 (03:32)/Auto da Fé - Live 2003 (03:52)/Mesopotamia - Live 2003 (04:21)/Lode All'Inviolato - Live 2003 (03:10)/Magic Shop - Live 2003 (02:38)/Stranizza D'Amuri - Live 2003 (02:13)/La stagione dell'amore - Live 2003 (02:50)/Povera Patria - Live 2003 (03:46)/Medley Last Summer Dance - Live 2003 (08:23)/L'animale - Live 2003 (02:54)/L'era del cinghiale bianco - Live 2003 (03:02)/Cuccuruccuccu - Live 2003 (04:11)/Centro di gravità permanente - Live 2003 (04:19,https://i.scdn.co/image/ab67616d00001e025282eca272437207ee801258,Italian Singer-songwriter/Singer-songwriter,"Battiato, Franco",B
Franco Battiato,Un'Altra Vita - Mix 2015,Anthology - Le Nostre Anime,Compilation,2015-11-13,Le Nostre Anime (04:24)/L'Era Del Cinghiale Bianco - Mix 2015 (03:20)/Stranizza D'Amuri - Edit 2015 (03:28)/Up Patriots To Arms - Mix 2015 (04:22)/Prospettiva Nevski - Mix 2015 (03:34)/Summer On A Solitary Beach - Mix 2015 (04:49)/Bandiera Bianca - Mix 2015 (04:37)/Gli Uccelli - Mix 2015 (04:04)/Cuccurucucù - Mix 2015 (04:10)/Centro Di Gravità Permanente - Mix 2015 (03:50)/Voglio Vederti Danzare - Mix 2015 (03:28)/La Stagione Dell'Amore - New Version 2015 (03:43)/Un'Altra Vita - Mix 2015 (03:04)/No Time No Space - Mix 2015 (03:23)/L'Animale - New Version 2015 (02:55)/E Ti Vengo A Cercare (03:51)/Nomadi - Mix 2015 (03:55)/Giubbe Rosse - New Version 2015 (03:34)/Alexander Platz - Live (03:19)/Center Of Gravity (03:24)/Lo Spirito Degli Abissi (03:35)/Povera Patria (03:43)/Caffé De La Paix - Mix Edit 2015 (03:22)/Strani Giorni - Mix 2015 (03:59)/La Cura - Mix 2015 (04:02)/Shock In My Town (04:22)/Il Mantello E La Spiga (03:59)/Niente E' Come Sembra (03:36)/Inneres Auge (03:41)/L'Incantesimo (03:20)/Un Irresistibile Richiamo (03:35)/Testamento (03:35)/Passacaglia (03:23)/Il Re Del Mondo - Live At Arena Di Verona (03:23)/Del Suo Veloce Volo (Frankestein) - Live At Arena Di Verona (04:03)/I Treni Di Tozeur - Live At Arena Di Verona (03:06)/Se Telefonando (03:20)/Aria Di Neve (02:54)/Te Lo Leggo Negli Occhi (03:05)/La Canzone Dei Vecchi Amanti (03:25)/Tutto L'Universo Obbedisce All'Amore (03:27)/L'Addio (03:22)/Inverno (03:28)/Oceano Di Silenzio (04:18)/Le Sacre Sinfonie Del Tempo (03:46)/L'Ombra Della Luce (04:53)/Lode All'Inviolato - New Version 2015 (03:21)/Haiku - New Version 2015 (03:46)/Stati Di Gioia - New Version 2015 (03:53)/Io Chi Sono? - New Version 2015 (03:47,https://i.scdn.co/image/ab67616d00001e02cc60f0dd2e124d187dff1be6,Italian Singer-songwriter/Singer-songwriter,"Battiato, Franco",B
Sun Ra,That’s How I Feel - Alternate Mix,Lanquidity (Definitive Edition),Album,2021-05-14,Lanquidity - Remastered (08:21)/Where Pathways Meet - Remastered (06:32)/That’s How I Feel - Remastered (08:05)/Twin Stars of Thence - Remastered (09:34)/There Are Other Worlds (They Have Not Told You Of) - Remastered (11:01)/Lanquidity - Alternate Mix (08:20)/Where Pathways Meet - Alternate Mix (06:31)/That’s How I Feel - Alternate Mix (12:10)/Twin Stars of Thence - Alternate Mix (09:51)/There Are Other Worlds (They Have Not Told You Of) - Alternate Mix (10:55,https://i.scdn.co/image/ab67616d00001e026025463556f402c9bc072221,Free Jazz/Jazz/Avant-garde/Hard Bop,Sun Ra,S
Maurice Ravel,"Ma mère l'oye, M. 62: III. Les Entretiens de la Belle et de la Bête.Mouvement de Valse modéré",Ravel: Ma Mère L'Oye; Boléro etc.,Album,1994-01-01,"Ma mère l'oye, M. 62: Prélude: Très lent (03:28)/Ma mère l'oye, M. 62: I. Danse du rouet et Scène - Allegro (03:41)/Ma mère l'oye, M. 62: II. Pavane de la Belle au bois dormant.Lent - Allegro - Mouvement de Valse modéré (02:21)/Ma mère l'oye, M. 62: III. Les Entretiens de la Belle et de la Bête.Mouvement de Valse modéré (05:00)/Ma mère l'oye, M. 62: IV. Petit poucet.Très modéré (03:19)/Ma mère l'oye, M. 62: Interlude (01:35)/Ma mère l'oye, M. 62: V. Laideronnette, Impératrice des pagodes.Mouvement de marche - Allegro - Très modéré (05:08)/Ma mère l'oye, M. 62: Apothéose: Le jardin féerique. Lent et grave (03:29)/Une barque sur l'océan: Très souple de rythme (07:59)/Alborada del gracioso, M. 43: Assez vif (07:30)/Rhapsodie espagnole, M. 54: I. Prélude à la nuit (04:23)/Rhapsodie espagnole, M. 54: II. Malagueña (02:09)/Rhapsodie espagnole, M. 54: III. Habanera (03:27)/Rhapsodie espagnole, M. 54: IV. Feria (06:40)/Boléro, M. 81 (14:58",https://i.scdn.co/image/ab67616d00001e0219e0e0ef87a08c74f94b25b3,Classical/Classical Piano/Neoclassical,"Ravel, Maurice",R
P.F.M.,Promenade the Puzzle,Photos of Ghosts,Album,2010-05-17,River of Life (06:59)/Celebration (03:51)/Photos of Ghosts (05:21)/Old Rain (03:41)/Il Banchetto (08:34)/Mr. 9 'til 5 (04:09)/Promenade the Puzzle (07:30)/Photos of Ghosts - Instrumental Mix (05:22)/River of Life - First Mix (07:07)/Old Rain - First Mix (03:40)/Il Banchetto - First Mix (08:34)/Mr. 9 'til 5 - Instrumental Mix (03:54)/Celebration - Single Edit (02:13,https://i.scdn.co/image/ab67616d00001e02b72a405ab506fb3be71b930d,Progressive Rock/Art Rock/Symphonic Rock,P.F.M.,P
Fleetwood Mac,Silver Girl,Say You Will,Album,2003-04-15,What's the World Coming To (03:47)/Murrow Turning over in His Grave (04:11)/Illume (9-11) (04:50)/Thrown Down (04:00)/Miranda (04:17)/Red Rover (03:57)/Say You Will (03:47)/Peacekeeper (04:10)/Come (05:59)/Smile at You (04:32)/Running Through the Garden (04:33)/Silver Girl (03:59)/Steal Your Heart Away (03:33)/Bleed to Love Her (04:05)/Everybody Finds Out (04:28)/Destiny Rules (04:26)/Say Goodbye (03:24)/Goodbye Baby (03:50,https://i.scdn.co/image/ab67616d00001e02018780ada265fb01b9cc89e5,Classic Rock/Soft Rock,Fleetwood Mac,F
